Content,Video title,Video publish time,Duration,Views,Watch time (hours),Impressions,Impressions click-through rate (%)
p291Uw04kZo,Another Forgotten Memory,"Feb 26, 2024",140,2,0.0526,47,0
yYwiXGJSZLE,I Totally Fucked That Up,"Dec 22, 2023",162,2,0.0147,1,0
 -I7StRcDbBg,Step Outside,"Sep 12, 2025",210,1,0.0582,39,0
 -mO5c9RqW0Y,I Took a Face from the Ancient Gallery,"Oct 8, 2024",213,1,0.003,9,0
 -zMmCkx503Y,Tennessee,"Sep 21, 2023",409,1,0.1133,8,0
0PtbNKg_qf8,That Entire Ordeal Sucked,"Sep 11, 2025",258,1,0.0714,16,0
6J5OmtGA6l0,Potion of Flow,"Sep 18, 2025",204,1,0.0204,6,0
7ghQhe5l5w0,Sun Hung Low,"Sep 21, 2023",163,1,0.0452,7,0
BYqEW39U9p4,Unhappy,"Sep 1, 2025",140,1,0.0388,6,16.67
BlaojIMY1f8,And Then Everything Changed,"Aug 18, 2024",162,1,0.001,26,3.85
CpEyCF5nBnE,For the First Part of the Journey,"Dec 29, 2023",151,1,0.0417,25,0
Fs1AGTq7jls,Teenage Angst Has Not Paid off Well,"May 31, 2024",144,1,0.0075,7,14.29
GPN0Xck9hrU,I Shall Not Be Released (Same Kind of Smell),"Feb 7, 2025",335,1,0.093,8,0
Hhmcl8Pgi4M,Here I Go Again Down the Road,"Dec 24, 2023",121,1,0.0103,10,10
Hy9-oPoNRuk,Fell in Love at the Movies Again,"Oct 14, 2024",116,1,0.032,9,0
OscqdnXk37c,Put on Your Happy Face,"Oct 3, 2024",244,1,0.0677,2,0
Pbrlt4FRsyw,Helpmebabyblue,"Aug 25, 2025",325,1,0.0546,4,0
RV85hoQ9uG4,Another Another Forgotten Memory,"Sep 11, 2025",224,1,0.0618,13,0
UiH3vBo7aXk,Table for One Please,"Sep 15, 2024",152,1,0.0267,4,0
XBXa2g4T53s,A Very Dumb Song,"Oct 3, 2024",98,1,0.0271,3,0
a1duPCV6nCg,Grass,"Sep 15, 2025",302,1,0.0465,7,0
daMbV3w7t34,New Old Story Blues,"Feb 17, 2024",228,1,0.0044,4,0
kPHMBRUJbYo,Xanadu (Probably 1980),"Jan 24, 2025",69,1,0.0192,6,0
mO02dTtkUm0,Fell in Love at the Movies Again 2,"Oct 7, 2024",177,1,0.049,11,0
mywrZ_ukDsQ,Slip and Slide,"Sep 1, 2025",181,1,0.0502,9,0
sOoKDW0_Jkw,Pretty Average Dumb Song,"Oct 3, 2024",184,1,0.051,1,0
tTcK71FZejc,Just Like You to Break My Heart,"Feb 2, 2024",177,1,0.0169,8,0
xed771BzVLs,Audio 35,"Feb 28, 2024",175,1,0,8,0
zSnSxs9rLDQ,Down the Water,"Sep 21, 2023",269,1,0.0745,17,0
1uDnthRGkuU,Anyone for Chess? (New Years Eve 1999),"Sep 27, 2023",138,0,0,17,0
EWP0oDpS5jU,Immaculate Blue,"Mar 1, 2024",230,0,0,7,0
FrngFXfENi0,A Long Time Ago,"Feb 5, 2024",308,0,0,7,0
Fz0l10Lpqs4,Audio 13,"Feb 29, 2024",219,0,0,4,0
HdKksSQdv_U,Zep Tepi,"Apr 4, 2025",256,0,0,5,0
HvFPtbtx54Y,Sippin’ on Kerosene,"Sep 21, 2023",199,0,0,3,0
Ij_jvy9-Uts,Stranded in the Neutron Zome,"Feb 14, 2024",262,0,0,2,0
Iys_FBp6Y-Q,Hobnail Boots for Bitterly Cold Britain,"Jul 17, 2025",246,0,0,13,0
Mga2mGFjqKE,Goodbye Sunny Day,"Dec 10, 2023",201,0,0,3,0
Pu4rzXhcmg4,Pros and Cons of Daylight Savings Accounts,"Jul 4, 2025",202,0,0,1,0
QDXC_KrrzSk,When I Was Trapped,"Feb 23, 2024",124,0,0,7,0
SV3FiH_FHF8,Almost Transparent Blue,"Jan 24, 2025",239,0,0,11,0
XFfWmFwA954,Over and Under Sucker,"Sep 2, 2024",236,0,0,2,0
ZV8hgntY6CM,Aint Nothing Going on Today,"Feb 19, 2024",226,0,0,5,0
i70XIPW4HLw,Potion of Flow (But with the Proper Ending...),"Sep 18, 2025",319,0,0,3,0
ijxRaiNuP9I,Im Not Gonna Crack (Just Kidding I Already Did),"Sep 2, 2024",254,0,0,6,0
nI2mLayXQTk,Stranded in the Neutron Zone,"Sep 21, 2023",219,0,0,5,0
pNgdpCSqJ74,The Problems All Inside Your Head She Said She Said,"Jul 26, 2025",336,0,0,3,0
s70hBXb3WEg,Directions to the Garden of Eden by Any Chance?,"Jul 23, 2024",100,0,0,6,0
ukYxjz6wPao,The Abyss Looks Back,"Feb 24, 2024",201,0,0,5,0
wKKKyVR6xf8,The Fountain of Age,"Jul 4, 2024",219,0,0,7,0
xNMOJdmpBig,Chinese Puzzle,"May 26, 2024",163,0,0,3,0
